duration_rust_single_threaded; rust_multi_threaded; rust_rayon ; java_single_threaded; java_multi_threaded; java_multi_threaded_virtual
6984; 800; 800;  792;   
6985; 811; 803;  795;   
6987; 795; 802;  793;   
6993; 795; 801;  793;   
6987; 800; 801;  795;   
6992; 800; 876;  817;   
7005; 818; 823;  816;   
7000; 814; 822;  814;   
7001; 815; 818;  816;   
7001; 819; 818;  810;   
7002; 810; 820;  811;   
7014; 803; 801;  795;   
6997; 797; 798;  788;   
6988; 798; 1144;  811;   
6986; 802; 803;  797;   
6988; 793; 799;  792;   
6990; 795; 799;  792;   
6988; 792; 799;  789;   
7000; 809; 817;  807;   
6987; 795; 819;  805;   
